Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1200
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_NN,nn_789_64_1_ld_789_1_789,Gemm_Rocblas_58750,0.0129929
GemmTunableOp_Half_TN,tn_3584_789_3584_ld_3584_3584_3584,Gemm_Rocblas_50782,0.284596
GemmTunableOp_BFloat16_TN,tn_8_789_3584_ld_3584_3584_8,Default,0.0223002
GemmTunableOp_BFloat16_TN,tn_3584_789_8_ld_8_8_3584,Gemm_Hipblaslt_27115,0.0288167
GemmTunableOp_Half_TN,tn_512_789_3584_ld_3584_3584_512,Gemm_Rocblas_50459,0.0537449
GemmTunableOp_BFloat16_TN,tn_512_789_8_ld_8_8_512,Gemm_Hipblaslt_26230,0.0127649
GemmStridedBatchedTunableOp_float_TN,tn_789_789_128_B_28_ld_128_3584_789,Gemm_Hipblaslt_58755,2.00686
GemmStridedBatchedTunableOp_float_NN,nn_128_789_789_B_28_ld_128_789_128,Gemm_Hipblaslt_58747,1.62427
GemmTunableOp_Half_TN,tn_18944_789_3584_ld_3584_3584_18944,Gemm_Rocblas_50769,1.57805
GemmTunableOp_BFloat16_TN,tn_18944_789_8_ld_8_8_18944,Gemm_Hipblaslt_26872,0.0941818
GemmTunableOp_Half_TN,tn_3584_789_18944_ld_18944_18944_3584,Gemm_Rocblas_49934,1.94898
GemmTunableOp_BFloat16_TN,tn_8_789_18944_ld_18944_18944_8,Gemm_Rocblas_26384,0.471325
GemmTunableOp_float_TN,tn_152064_256_3584_ld_3584_3584_152064,Gemm_Rocblas_58762,51.9997
GemmTunableOp_float_NN,nn_3584_256_152064_ld_3584_152064_3584,Gemm_Hipblaslt_58759,61.2457
GemmTunableOp_BFloat16_NT,nt_8_3584_789_ld_8_3584_8,Gemm_Hipblaslt_25022,0.0175201
GemmTunableOp_BFloat16_NN,nn_8_789_3584_ld_8_3584_8,Gemm_Hipblaslt_25987,0.0243403
GemmTunableOp_BFloat16_NT,nt_18944_8_789_ld_18944_8_18944,Gemm_Hipblaslt_24828,0.0461285
GemmTunableOp_BFloat16_NN,nn_18944_789_8_ld_18944_8_18944,Gemm_Hipblaslt_25529,0.100405
GemmTunableOp_Half_NN,nn_18944_789_3584_ld_18944_3584_18944,Gemm_Rocblas_49215,1.4637
GemmTunableOp_BFloat16_NT,nt_8_18944_789_ld_8_18944_8,Gemm_Rocblas_25167,0.0499524
GemmTunableOp_BFloat16_NN,nn_8_789_18944_ld_8_18944_8,Gemm_Hipblaslt_25964,0.089365
GemmTunableOp_BFloat16_NT,nt_3584_8_789_ld_3584_8_3584,Gemm_Rocblas_24617,0.016992
GemmTunableOp_BFloat16_NN,nn_3584_789_8_ld_3584_8_3584,Gemm_Hipblaslt_25512,0.0300643
GemmTunableOp_Half_NN,nn_3584_789_18944_ld_3584_18944_3584,Gemm_Hipblaslt_49037,1.56082
GemmTunableOp_Half_NN,nn_3584_789_3584_ld_3584_3584_3584,Gemm_Rocblas_49286,0.322705
GemmStridedBatchedTunableOp_float_NT,nt_128_789_789_B_28_ld_3584_789_128,Default,1.31145
GemmStridedBatchedTunableOp_float_NT,nt_789_128_789_B_28_ld_789_3584_789,Gemm_Rocblas_58746,1.39413
GemmTunableOp_BFloat16_NT,nt_8_512_789_ld_8_512_8,Gemm_Rocblas_24619,0.0127961
GemmTunableOp_BFloat16_NN,nn_8_789_512_ld_8_512_8,Gemm_Rocblas_25766,0.0119241
GemmTunableOp_Half_NN,nn_3584_789_512_ld_3584_512_3584,Gemm_Hipblaslt_49323,0.0582607
GemmTunableOp_float_NN,nn_910_64_1_ld_910_1_910,Gemm_Hipblaslt_58749,0.00954
GemmTunableOp_Half_TN,tn_3584_910_3584_ld_3584_3584_3584,Gemm_Rocblas_50679,0.330768
GemmTunableOp_BFloat16_TN,tn_8_910_3584_ld_3584_3584_8,Gemm_Rocblas_26380,0.0226802
GemmTunableOp_BFloat16_TN,tn_3584_910_8_ld_8_8_3584,Gemm_Hipblaslt_26028,0.0312084
GemmTunableOp_Half_TN,tn_512_910_3584_ld_3584_3584_512,Default,0.0563125
GemmTunableOp_BFloat16_TN,tn_512_910_8_ld_8_8_512,Gemm_Hipblaslt_26638,0.0132642
GemmStridedBatchedTunableOp_float_TN,tn_910_910_128_B_28_ld_128_3584_910,Gemm_Hipblaslt_58755,2.38534
GemmStridedBatchedTunableOp_float_NN,nn_128_910_910_B_28_ld_128_910_128,Gemm_Rocblas_58748,2.01466
GemmTunableOp_Half_TN,tn_18944_910_3584_ld_3584_3584_18944,Gemm_Rocblas_50533,1.78498
GemmTunableOp_BFloat16_TN,tn_18944_910_8_ld_8_8_18944,Gemm_Hipblaslt_26851,0.109533
GemmTunableOp_Half_TN,tn_3584_910_18944_ld_18944_18944_3584,Gemm_Hipblaslt_50652,1.91778
GemmTunableOp_BFloat16_TN,tn_8_910_18944_ld_18944_18944_8,Gemm_Hipblaslt_26533,0.100173
GemmTunableOp_BFloat16_NT,nt_8_3584_910_ld_8_3584_8,Gemm_Rocblas_24817,0.0189603
GemmTunableOp_BFloat16_NN,nn_8_910_3584_ld_8_3584_8,Gemm_Hipblaslt_25765,0.0237723
GemmTunableOp_BFloat16_NT,nt_18944_8_910_ld_18944_8_18944,Gemm_Rocblas_24780,0.0496605
GemmTunableOp_BFloat16_NN,nn_18944_910_8_ld_18944_8_18944,Gemm_Hipblaslt_25499,0.115493
